id,title,subtitle,authors,publisher,published_date,description,categories,page_count,average_rating,ratings_count,language,isbn_10,isbn_13,info_link,buy_link,retail_price,currency_code,thumbnail_link,is_ebook,genre
txhgEAAAQBAJ,How To Talk To A Science Denier,"Conversations with Flat Earthers, Climate Deniers, and Others Who Defy Reason",Lee Mcintyre,MIT Press,2022-08-02,"Can we change the minds of science deniers? Encounters with flat earthers, anti-vaxxers, coronavirus truthers, and others. ""Climate change is a hoax--and so is coronavirus."" ""Vaccines are bad for you."" These days, many of our fellow citizens reject scientific expertise and prefer ideology to facts. They are not merely uninformed--they are misinformed. They cite cherry-picked evidence, rely on fake experts, and believe conspiracy theories. How can we convince such people otherwise? How can we get",Science,281,,0,en,0262545055,9780262545051,http://books.google.com/books?id=txhgEAAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
W5nhDAAAQBAJ,The Social Life Of Dna,"Race, Reparations, and Reconciliation After the Genome",Alondra Nelson,Beacon Press,2016-09-20,"The unexpected story of how genetic testing is affecting race in America We know DNA is a master key that unlocks medical and forensic secrets, but its genealogical life is both revelatory and endlessly fascinating. Tracing genealogy is now the second-most popular hobby amongst Americans, as well as the second-most visited online category. This billion-dollar industry has spawned popular television shows, websites, and Internet communities, and a booming heritage tourism circuit. The tsunami of ",Social Science,218,,0,en,0807027189,9780807027189,http://books.google.com/books?id=W5nhDAAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
qjhHCgAAQBAJ,"Houston, We Have A Narrative",Why Science Needs Story,Randy Olson,University of Chicago Press,2015-09-15,"Communicate more effectively about science—by taking a page from Hollywood and improving your storytelling skills. Ask a scientist about Hollywood, and you’ll probably get eye rolls. But ask someone in Hollywood about science, and they’ll see dollar signs: Moviemakers know that science can be the source of great stories, with all the drama and action that blockbusters require. That’s a huge mistake, says Randy Olson: Hollywood has a lot to teach scientists about how to tell a story—and, ultimate",Science,269,,0,en,022627098X,9780226270982,https://play.google.com/store/books/details?id=qjhHCgAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=qjhHCgAAQBAJ&rdid=book-qjhHCgAAQBAJ&rdot=1&source=gbs_api,9.99,USD,,True,Science
x68wDwAAQBAJ,Impure Science,"AIDS, Activism, and the Politics of Knowledge",Steven Epstein,Univ of California Press,1996,Epstein shows the extent to which AIDS research has been a social and political phenomenon and how the AIDS movement has transformed biomedical research practices through its capacity to garner credibility by novel strategies.,Family & Relationships,482,,0,en,0520214455,9780520214453,http://books.google.com/books?id=x68wDwAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
hqflkSYSIsUC,Science,The Definitive Visual Guide,Adam Hart-Davis,Dorling Kindersley Ltd,2012,"The complete illustrated science encyclopedia covering the history, key discoveries, inventions and people Science- The Definitive Visual Guide reveals the story of scientific progress from the invention of the wheel to 21st-century climate solutions, including everything from ancient Greek geometry and quantum physics to the worldwide web. Explore every key moment of scientific discovery with this remarkable reference book and find out how the concepts, inventions and the individuals behind the",Juvenile Nonfiction,515,,0,en,1409383148,9781409383147,http://books.google.com/books?id=hqflkSYSIsUC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
xhX1fD2TmdIC,Cultural Boundaries Of Science,Credibility on the Line,Thomas F. Gieryn,University of Chicago Press,1999-01-15,"This text argues that an explanation for the cultural authority of science lies where scientific claims leave laboratories and enter boardrooms and living rooms. Here, one uses ""maps"" to decide who to believe - cultural maps demarcating ""science"" from pseudoscience, ideology, faith, or nonsense.",Philosophy,422,,0,en,0226292614,9780226292618,http://books.google.com/books?id=xhX1fD2TmdIC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
9lhQAAAAMAAJ,The New Politics Of Science,,David Dickson,New York : Pantheon Books,1984,Reprint of the Pantheon Books edition of 1984.,Political Science,426,,0,en,,,http://books.google.com/books?id=9lhQAAAAMAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
4fF1zQEACAAJ,Essential Science: The Only Science Book You Will Ever Need,,Brian Clegg,Welbeck Publishing,2020-11-10,"Concepts of physics and cosmology, chemistry, biology and evolution, and Earth are all broken down into seven essential elements to make each accessible.",Science,288,,0,en,1787394468,9781787394469,http://books.google.com/books?id=4fF1zQEACAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
gGH_j8SACA4C,Study Guide For Psychology,,"David G. Myers, Richard O. Straub",Macmillan,2009-04-03,Longtime Myers collaborator Richard Straub provides an updated study guide for the new edition.,Psychology,436,,0,en,1429225343,9781429225342,http://books.google.com/books?id=gGH_j8SACA4C&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
AjavDgAAQBAJ,The Everything Psychology Book,Explore the Human Psyche and Understand why We Do the Things We Do,"Kendra Cherry, Paul G Mattiuzzi",Simon and Schuster,2010-11-16,"There's nothing more fascinating-- or frightening-- than the ins and outs of the human mind. With this comprehensive guide, you'll achieve a better understanding of yourself-- and everyone else around you, too!",Psychology,304,,0,en,1440506914,9781440506918,http://books.google.com/books?id=AjavDgAAQBAJ&dq=psychology&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Psychology
