id,title,subtitle,authors,publisher,published_date,description,categories,page_count,average_rating,ratings_count,language,isbn_10,isbn_13,info_link,buy_link,retail_price,currency_code,thumbnail_link,is_ebook,genre
nfAuAAAAMAAJ,Investigation Of Governmental Organization For Space Activities,"Hearings Before the Subcommittee on Governmental Organization for Space Activities of the Committee on Aeronautical and Space Sciences, United States Senate, Eighty-sixth Congress, First Session, on Investigation of Governmental Organization for Space Activities, March 24, 26, and April 14, 15, 22, 23, 24, 29, and May 7, 1959","United States. Congress. Senate. Committee On Aeronautical And Space Sciences. Subcommittee On Governmental Organization For Space Activities, United States. Congress Senate",,1959,"Reviews space program administration and coordination by NASA and DOD. Focuses on differing roles of NASA and DOD in the development of a space program. Includes report ""Interdepartmental Coordination in the Federal Administration of Scientific and Technological Functions"" by the Legislative Reference Service of the Library of Congress, 1959 (p. 661-745).",Astronautics,798,,0,en,,,https://play.google.com/store/books/details?id=nfAuAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=nfAuAAAAMAAJ&rdid=book-nfAuAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
PDR_ahkTf44C,Subject Index Of The Modern Books Acquired By The British Museum In The Years 1916-1920,,British Museum. Department Of Printed Books,,1922,,Best books,1040,,0,en,,,https://play.google.com/store/books/details?id=PDR_ahkTf44C&source=gbs_api,https://play.google.com/store/books/details?id=PDR_ahkTf44C&rdid=book-PDR_ahkTf44C&rdot=1&source=gbs_api,,,,True,Science
I2EcAAAAMAAJ,"Lectures On Science, Philosophy And Art, 1907-1908",,Columbia University,,1908,,Art,686,,0,en,,,https://play.google.com/store/books/details?id=I2EcAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=I2EcAAAAMAAJ&rdid=book-I2EcAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
p0fODwAAQBAJ,Thomas Seebohm On The Foundations Of The Sciences,An Analysis and Critical Appraisal,Thomas Nenon,Springer Nature,2020-02-03,"This book explores the work of Thomas Seebohm (1934-2014), a leading phenomenologist and hermeneuticist. It features papers that offer a critical and constructive dialogue about Seebohm’s analyses and their implications for the sciences. The net result is an in-depth study and a helpful overview of Seebohm’s general approach and his specific views on various areas of modern science. The contributors focus especially upon his final text, History as a Science and the System of the Sciences. They v",Philosophy,245,,0,en,3030236617,9783030236618,https://play.google.com/store/books/details?id=p0fODwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=p0fODwAAQBAJ&rdid=book-p0fODwAAQBAJ&rdot=1&source=gbs_api,79.2,USD,,True,Science
i9vS8mFS-2MC,"Departments Of Labor, Health And Human Services, Education, And Related Agencies Appropriations For 2015","Hearings Before a Subcommittee of the Committee on Appropriations, House of Representatives, One Hundred Thirteenth Congress, Second Session","United States. Congress. House. Committee On Appropriations. Subcommittee On The Departments Of Labor, Health And Human Services, Education, And Related Agencies",,2014,,Administrative agencies,1116,,0,en,,,https://play.google.com/store/books/details?id=i9vS8mFS-2MC&source=gbs_api,https://play.google.com/store/books/details?id=i9vS8mFS-2MC&rdid=book-i9vS8mFS-2MC&rdot=1&source=gbs_api,,,,True,Science
9kOgsNM8OpMC,Career Opportunities In The Energy Industry,,"Allan Taylor, James Robert Parish",Infobase Publishing,2008,"Presents one hundred and thirty job descriptions for careers within the energy industry, and includes positions dealing with coal, electric, nuclear energy, renewable energy, engineering, machine operation, science, and others.",Business & Economics,385,,0,en,1438110693,9781438110691,http://books.google.com/books?id=9kOgsNM8OpMC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
zJLqDwAAQBAJ,The Complete Book Of Colleges 2021,"The Mega-Guide to 1,349 Colleges and Universities",The Princeton Review,Princeton Review,2020-07,"""The mega-guide to 1,349 colleges and universities by the staff of the Princeton Review ... [including] detailed information on admissions, financial aid, cost, and more""--Cover.",Education,1154,,0,en,0525569413,9780525569411,http://books.google.com/books?id=zJLqDwAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
SRt1AwAAQBAJ,Sage Handbook Of Research On Classroom Assessment,SAGE Publications,James H. Mcmillan,SAGE Publications,2012-11-02,"The Sage Handbook of Research on Classroom Assessment provides scholars, professors, graduate students, and other researchers and policy makers in the organizations, agencies, testing companies, and school districts with a comprehensive source of research on all aspects of K-12 classroom assessment. The handbook emphasizes theory, conceptual frameworks, and all varieties of research (quantitative, qualitative, mixed methods) to provide an in-depth understanding of the knowledge base in each area",Education,577,,0,en,1452262055,9781452262055,http://books.google.com/books?id=SRt1AwAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
WktDAQAAMAAJ,Undergraduate Announcement,,University Of Michigan--Dearborn,,1987,,,228,,0,en,,,https://play.google.com/store/books/details?id=WktDAQAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=WktDAQAAMAAJ&rdid=book-WktDAQAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
_TaQAgAAQBAJ,Feminist Critical Policy Analysis I,,Catherine Marshall,Routledge,2005-10-05,"Challenging the traditional power basis of the policy decision-makers in education, this text illustrates the use of a critical and feminist lens in the creation of policies to meet the needs, aspirations and values of women and girls. Focus is on the primary and secondary sectors of education.",Education,263,,0,en,1135714657,9781135714659,http://books.google.com/books?id=_TaQAgAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
-3J_3pDNZlkC,Gender And Women'S Leadership,A Reference Handbook,Karen O'Connor,SAGE,2010-08-18,"These volumes provide an authoritative reference resource on leadership issues specific to women and gender, with a focus on positive aspects and opportunities for leadership in various domains.",Business & Economics,1105,,0,en,1412960835,9781412960830,http://books.google.com/books?id=-3J_3pDNZlkC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
lSlqAgAAQBAJ,"Writing, Grades 5 - 8",,Barden,Mark Twain Media,2010-08-06,"Write on! Write with students in grades 5 and up using Writing: Fundamentals for the Middle-School Classroom. This 128-page book helps students learn how to express themselves through writing. It provides open-ended lessons of personal writing, descriptive writing, short stories, poetry, and reports. This excellent classroom supplement also includes chapters arranged in order of increasing difficulty and activities that allow students to choose their own writing topics. It supports NCTE and IRA ",Juvenile Nonfiction,131,,0,en,1580379796,9781580379793,https://play.google.com/store/books/details?id=lSlqAgAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=lSlqAgAAQBAJ&rdid=book-lSlqAgAAQBAJ&rdot=1&source=gbs_api,13.99,USD,,True,Science
9Z5yZbh13kwC,Science On American Television,A History,Marcel Chotkowski Lafollette,University of Chicago Press,2013,"This volume narrates the history of science on television, from the 1940s to the turn of the 21st-century, to demonstrate how disagreements between scientists and television executives inhibited the medium's potential to engage in meaningful science education.",Education,317,,0,en,0226921999,9780226921990,http://books.google.com/books?id=9Z5yZbh13kwC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
VYgqsn81c0sC,English Mechanic And World Of Science,"With which are Incorporated ""the Mechanic"", ""Scientific Opinion,"" and the ""British and Foreign Mechanic.""",,,1907,,Mechanics,652,,0,en,,,https://play.google.com/store/books/details?id=VYgqsn81c0sC&source=gbs_api,https://play.google.com/store/books/details?id=VYgqsn81c0sC&rdid=book-VYgqsn81c0sC&rdot=1&source=gbs_api,,,,True,Science
EsMFMUmqo5cC,Invasive Plants Of Asian Origin Established In The United States And Their Natural Enemies,,,,2004,,Invasive plants,160,,0,en,,,https://play.google.com/store/books/details?id=EsMFMUmqo5cC&source=gbs_api,https://play.google.com/store/books/details?id=EsMFMUmqo5cC&rdid=book-EsMFMUmqo5cC&rdot=1&source=gbs_api,,,,True,Science
WdwZN01Nk5kC,Catalogue ...,,Illinois State University,,1928,,College catalogs,732,,0,en,,,https://play.google.com/store/books/details?id=WdwZN01Nk5kC&source=gbs_api,https://play.google.com/store/books/details?id=WdwZN01Nk5kC&rdid=book-WdwZN01Nk5kC&rdot=1&source=gbs_api,,,,True,Science
tScsDwAAQBAJ,The Astronomy Book,Big Ideas Simply Explained,Dk,Penguin,2021-02-02,"Since the dawn of humankind, people have looked upward to the heavens and tried to understand them. This encyclopedia takes you on an expedition through time and space to discover our place in the universe. We invite you to take a journey through the wonders of the universe. Explore the cosmos, from planets to black holes, the Big Bang, and everything in-between! Get ready to discover the story of the universe one page at a time! This educational book for young adults will launch you on a wild t",Science,706,,0,en,1465470719,9781465470713,https://play.google.com/store/books/details?id=tScsDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=tScsDwAAQBAJ&rdid=book-tScsDwAAQBAJ&rdot=1&source=gbs_api,8.99,USD,,True,Science
F9iVnbM1WIsC,Enc Focus,,,,2001,,Mathematics,100,,0,en,,,https://play.google.com/store/books/details?id=F9iVnbM1WIsC&source=gbs_api,https://play.google.com/store/books/details?id=F9iVnbM1WIsC&rdid=book-F9iVnbM1WIsC&rdot=1&source=gbs_api,,,,True,Science
OF3Dk3ka_kMC,Catalog Number,,Arkansas State Normal School,,1929,,,500,,0,en,,,https://play.google.com/store/books/details?id=OF3Dk3ka_kMC&source=gbs_api,https://play.google.com/store/books/details?id=OF3Dk3ka_kMC&rdid=book-OF3Dk3ka_kMC&rdot=1&source=gbs_api,,,,True,Science
7xNPtLThD10C,Thinking From Things,Essays in the Philosophy of Archaeology,Alison Wylie,Univ of California Press,2002-11-13,"In this long-awaited compendium of new and newly revised essays, Alison Wylie explores how archaeologists know what they know. Examining the history and methodology of Anglo-American archaeology, Wylie puts the tumultuous debates of the last thirty years in historical and philosophical perspective.",Social Science,359,,0,en,0520935403,9780520935402,https://play.google.com/store/books/details?id=7xNPtLThD10C&source=gbs_api,https://play.google.com/store/books/details?id=7xNPtLThD10C&rdid=book-7xNPtLThD10C&rdot=1&source=gbs_api,52.95,USD,,True,Science
0l0AEQAAQBAJ,The Economics Book,Big Ideas Simply Explained,Dk,Penguin,2024-11-26,"Learn about trade and global economic crises in The Economics Book. Part of the fascinating Big Ideas series, this book tackles tricky topics and themes in a simple and easy to follow format. Learn about Economics in this overview guide to the subject, great for novices looking to find out more and experts wishing to refresh their knowledge alike! The Economics Book brings a fresh and vibrant take on the topic through eye-catching graphics and diagrams to immerse yourself in. This captivating bo",Business & Economics,906,,0,en,0593964993,9780593964996,https://play.google.com/store/books/details?id=0l0AEQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=0l0AEQAAQBAJ&rdid=book-0l0AEQAAQBAJ&rdot=1&source=gbs_api,8.99,USD,,True,Science
2DOREAAAQBAJ,The Kissing Bug,"A True Story of a Family, an Insect, and a Nation's Neglect of a Deadly Disease",Daisy Hernandez,National Geographic Books,2021-06-01,"Growing up in a New Jersey factory town in the 1980s, Daisy Hernández believed that her aunt had become deathly ill from eating an apple. No one in her family, in either the United States or Colombia, spoke of infectious diseases. Even into her thirties, she only knew that her aunt had died of Chagas, a rare and devastating illness that affects the heart and digestive system. But as Hernández dug deeper, she discovered that Chagas—or the kissing bug disease—is more prevalent in the United States",Social Science,0,,0,en,1951142527,9781951142520,http://books.google.com/books?id=2DOREAAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
-ZIkEAAAQBAJ,Great Adaptations,"Star-Nosed Moles, Electric Eels, and Other Tales of Evolution’s Mysteries Solved",Kenneth Catania,Princeton University Press,2021-10-12,"Presents an entertaining and engaging look at some of nature's most remarkable creatures ... Shows not only how studying these animals can provide deep insights into how life evolved, but also how scientific discovery can be filled with adventure and fun--Adapted from cover.",Nature,208,,0,en,0691228477,9780691228471,http://books.google.com/books?id=-ZIkEAAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
iZ8D1w980XIC,Educating Our Children To Succeed In The Global Economy,"Field Hearing of the Committee on Health, Education, Labor, and Pensions, United States Senate, One Hundred Twelfth Congress, First Session ... July 15, 2011 (Portland, OR).","United States. Congress. Senate. Committee On Health, Education, Labor, And Pensions",,2014,,Education,74,,0,en,,,https://play.google.com/store/books/details?id=iZ8D1w980XIC&source=gbs_api,https://play.google.com/store/books/details?id=iZ8D1w980XIC&rdid=book-iZ8D1w980XIC&rdot=1&source=gbs_api,,,,True,Science
IiHuydGzEwEC,"Summa Theologica, Volume 3 (Part Ii, Second Section)",,St Thomas Aquinas,"Cosimo, Inc.",2013-01-01,"""The Summa Theologica is the best-known work of Italian philosopher, scholar, and Dominican friar SAINT THOMAS AQUINAS (1225 1274), widely considered the Catholic Church s greatest theologian. Famously consulted (immediately after the Bible) on religious questions at the Council of Trent, Aquinas s masterpiece has been considered a summary of official Church philosophy ever since. Aquinas considers approximately 10,000 questions on Church doctrine covering the roles and nature of God, man, and J",Religion,640,,0,en,1602065578,9781602065574,https://play.google.com/store/books/details?id=IiHuydGzEwEC&source=gbs_api,https://play.google.com/store/books/details?id=IiHuydGzEwEC&rdid=book-IiHuydGzEwEC&rdot=1&source=gbs_api,39.99,USD,,True,Science
SHgIEQAAQBAJ,Science And Mathematics,From Primitive to Modern Times,Jayant V. Narlikar,Taylor & Francis,2021-11-29,"This book offers an engaging and comprehensive introduction to scientific theories and the evolution of science and mathematics through the centuries. It discusses the history of scientific thought and ideas and the intricate dynamic between new scientific discoveries, scientists, culture and societies. Through stories and historical accounts, the volume illustrates the human engagement and preoccupation with science and the interpretation of natural phenomena. It highlights key scientific break",Mathematics,189,,0,en,1000433196,9781000433197,https://play.google.com/store/books/details?id=SHgIEQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=SHgIEQAAQBAJ&rdid=book-SHgIEQAAQBAJ&rdot=1&source=gbs_api,42.39,USD,,True,Science
K3TV8lh4jR0C,Reviews Of Data On Science Resources,,National Science Foundation (U.S.),,1964,,Engineers,462,,0,en,,,https://play.google.com/store/books/details?id=K3TV8lh4jR0C&source=gbs_api,https://play.google.com/store/books/details?id=K3TV8lh4jR0C&rdid=book-K3TV8lh4jR0C&rdot=1&source=gbs_api,,,,True,Science
9h4ouWprrrwC,Sciences Pertaining To Civil Engineering,,International Library Of Technology,,1906,,,334,,0,en,,,https://play.google.com/store/books/details?id=9h4ouWprrrwC&source=gbs_api,https://play.google.com/store/books/details?id=9h4ouWprrrwC&rdid=book-9h4ouWprrrwC&rdot=1&source=gbs_api,,,,True,Science
DDNoAgAAQBAJ,Pharmaceutical Medicine,,"Adrian Kilcoyne, Phil Ambery, Daniel O'Connor",OUP Oxford,2013-05-23,"The breadth of the pharmaceutical medicine can be daunting, but this book is designed to navigate a path through the speciality. Providing a broad overview of all topics relevant to the discipline of pharmaceutical medicine, it gives you the facts fast, in a user-friendly format, without having to dive through page upon page of dense text. With 136 chapters spread across 8 sections, the text offers a thorough grounding in issues ranging from medicines regulation to clinical trial design and data",Medical,473,,0,en,0191510394,9780191510397,https://play.google.com/store/books/details?id=DDNoAgAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=DDNoAgAAQBAJ&rdid=book-DDNoAgAAQBAJ&rdot=1&source=gbs_api,55.99,USD,,True,Science
S25pN_ikXTAC,Congressional Record,Proceedings and Debates of the ... Congress,United States. Congress,,1959,,Law,1188,,0,en,,,https://play.google.com/store/books/details?id=S25pN_ikXTAC&source=gbs_api,https://play.google.com/store/books/details?id=S25pN_ikXTAC&rdid=book-S25pN_ikXTAC&rdot=1&source=gbs_api,,,,True,Science
4QfVrQEACAAJ,Modern Physics,For Scientists and Engineers,John Taylor,University Science Books,2015-06-18,"With more than 100 years of combined teaching experience and PhDs in particle, nuclear, and condensed-matter physics, these three authors could hardly be better qualified to write this introduction to modern physics. They have combined their award-winning teaching skills with their experience writing best-selling textbooks to produce a readable and comprehensive account of the physics that has developed over the last hundred years and led to today's ubiquitous technology. Assuming the knowledge ",Science,0,,0,en,1938787757,9781938787751,http://books.google.com/books?id=4QfVrQEACAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
OCY5AQAAMAAJ,"Index-Catalogue Of The Library Of The Surgeon General'S Office, United States Army (Armed Forces Medical Library).",Authors and subjects,"Armed Forces Medical Library (U.S.), National Library Of Medicine (U.S.), Library Of The Surgeon-General'S Office (U.S.)",,1955,"""Collection of incunabula and early medical prints in the library of the Surgeon-general's office, U.S. Army"": Ser. 3, v. 10, p. 1415-1436.",Incunabula,1602,,0,en,,,https://play.google.com/store/books/details?id=OCY5AQAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=OCY5AQAAMAAJ&rdid=book-OCY5AQAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
fbbPAAAAMAAJ,Annual Catalog ...,With Announcements ...,University Of Idaho,,1924,,,280,,0,en,,,https://play.google.com/store/books/details?id=fbbPAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=fbbPAAAAMAAJ&rdid=book-fbbPAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
oxgTTHGMgCEC,Science,,John Michels (Journalist),,2001,,Science,808,,0,en,,,http://books.google.com/books?id=oxgTTHGMgCEC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
f_D3DwAAQBAJ,The Code Breaker,"Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,Simon and Schuster,2021-03-09,"A Best Book of 2021 by Bloomberg BusinessWeek, Time, and The Washington Post The bestselling author of Leonardo da Vinci and Steve Jobs returns with a “compelling” (The Washington Post) account of how Nobel Prize winner Jennifer Doudna and her colleagues launched a revolution that will allow us to cure diseases, fend off viruses, and have healthier babies. When Jennifer Doudna was in sixth grade, she came home one day to find that her dad had left a paperback titled The Double Helix on her bed. ",Biography & Autobiography,560,4.5,2,en,1982115874,9781982115876,https://play.google.com/store/books/details?id=f_D3DwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=f_D3DwAAQBAJ&rdid=book-f_D3DwAAQBAJ&rdot=1&source=gbs_api,15.99,USD,,True,Science
13IoEEq4HeAC,Federal Register,,,,1991-05-08,,Administrative law,1484,,0,en,,,https://play.google.com/store/books/details?id=13IoEEq4HeAC&source=gbs_api,https://play.google.com/store/books/details?id=13IoEEq4HeAC&rdid=book-13IoEEq4HeAC&rdot=1&source=gbs_api,,,,True,Science
2kzezgEACAAJ,Solve,Problems in Environmental Science,"Kathleen Purvis-Roberts, Thomas G. Spiro",,2022-06-15,SOLVE: Problems in Environmental Science delivers up a robust set of engaging quantitative problems geared toward students in guided problem-solving groups and Environmental Science courses.,Nature,0,,0,en,1940380103,9781940380100,http://books.google.com/books?id=2kzezgEACAAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
Wag0k5zjcJIC,Cumulative List Of Organizations Described In Section 170 (C) Of The Internal Revenue Code Of 1954,,United States. Internal Revenue Service,,1979,,"Charitable uses, trusts, and foundations",1188,,0,en,,,https://play.google.com/store/books/details?id=Wag0k5zjcJIC&source=gbs_api,https://play.google.com/store/books/details?id=Wag0k5zjcJIC&rdid=book-Wag0k5zjcJIC&rdot=1&source=gbs_api,,,,True,Science
p2UDAAAAMAAJ,The Practical Application Of Sociology,A Study of the Scope and Purpose of Applied Sociology,Herbert Newhard Shenton,,1923,"Hopes to hasten the development of applied sociology by making clear distinctions between general sociology, social arts, social work, and social economy. Also looks at observational sociology when men are attempting to influence the behavior of others.",Social Science,272,,0,en,,,https://play.google.com/store/books/details?id=p2UDAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=p2UDAAAAMAAJ&rdid=book-p2UDAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
jgbONh143hkC,Women In Science And Technology,"Hearing Before the Subcommittee on Science, Technology, and Space of the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Seventh Congress, Second Session, July 24, 2002","United States. Congress. Senate. Committee On Commerce, Science, And Transportation. Subcommittee On Science, Technology, And Space",,2005,,Business & Economics,40,,0,en,,,https://play.google.com/store/books/details?id=jgbONh143hkC&source=gbs_api,https://play.google.com/store/books/details?id=jgbONh143hkC&rdid=book-jgbONh143hkC&rdot=1&source=gbs_api,,,,True,Science
QUlGAQAAMAAJ,Publications Of The Children'S Bureau,,United States. Children'S Bureau,,1930,,Child welfare,946,,0,en,,,https://play.google.com/store/books/details?id=QUlGAQAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=QUlGAQAAMAAJ&rdid=book-QUlGAQAAMAAJ&rdot=1&source=gbs_api,,,,True,Children
gvwFEAAAQBAJ,Capturing Children'S Meanings In Early Childhood Research And Practice,A Practical Guide,Ann Marie Halpenny,Routledge,2020-11-26,"Capturing Children’s Meanings in Early Childhood Research and Practice draws together contemporary research and established theories to produce a unique take on the meanings children express through a range of creative tools. Drawing on Reggio Emilia and the Mosaic approach, this book provides readers with a range of strategies for accessing, recording and interpreting young children’s perceptions of and responses to their experiences. Providing a synthesis of the multiple imaginative ways we ca",Education,216,,0,en,1351163949,9781351163941,https://play.google.com/store/books/details?id=gvwFEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=gvwFEAAAQBAJ&rdid=book-gvwFEAAAQBAJ&rdot=1&source=gbs_api,31.19,USD,,True,Children
LGE4q7yYqcsC,Picturing The Wolf In Children'S Literature,,Debra Mitts-Smith,Routledge,2012-12-06,"From the villainous beast of “Little Red Riding Hood” and “The Three Little Pigs,” to the nurturing wolves of Romulus and Remus and Rudyard Kipling’s The Jungle Book, the wolf has long been a part of the landscape of children’s literature. Meanwhile, since the 1960s and the popularization of scientific research on these animals, children’s books have begun to feature more nuanced views. In Picturing the Wolf in Children’s Literature, Mitts-Smith analyzes visual images of the wolf in children’s b",Literary Criticism,222,5,1,en,1135765715,9781135765712,https://play.google.com/store/books/details?id=LGE4q7yYqcsC&source=gbs_api,https://play.google.com/store/books/details?id=LGE4q7yYqcsC&rdid=book-LGE4q7yYqcsC&rdot=1&source=gbs_api,53.59,USD,,True,Children
9zjLEAAAQBAJ,Oxford Textbook Of Children'S Sport And Exercise Medicine,,"Neil Armstrong, Willem Van Mechelen",Oxford University Press,2023,The 4th edition of the Oxford Textbook of Children's Sport and Exercise Medicine is the definitive single-volume reference in the field presented in four sections Exercise Science; Exercise Medicine; Sport Science; and Sport Medicine.,Medical,785,,0,en,0192843966,9780192843968,http://books.google.com/books?id=9zjLEAAAQBAJ&dq=children&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Children
GbcQxQP_woIC,Children'S Drawings Of The Human Figure,,Maureen V. Cox,Psychology Press,2013-05-24,"The human figure is one of the earliest topics drawn by the young child and remains popular throughout childhood and into adolescence. When it first emerges, however, the human figure in the child's drawing is very bizarre: it appears to have no torso and its arms, if indeed it has any, are attached to its head. Even when the figure begins to look more conventional the child must still contend with a variety of problems: for instance, how to draw the head and body in the right proportions and ho",Psychology,158,,0,en,1134832303,9781134832309,https://play.google.com/store/books/details?id=GbcQxQP_woIC&source=gbs_api,https://play.google.com/store/books/details?id=GbcQxQP_woIC&rdid=book-GbcQxQP_woIC&rdot=1&source=gbs_api,51.96,USD,,True,Children
JeyFAwAAQBAJ,Indicators Of Children'S Well-Being,,"Robert M. Hauser, Brett V. Brown, William R. Prosser",Russell Sage Foundation,1997-12-04,"The search for reliable information on the well-being of America's young is vital to designing programs to improve their lives. Yet social scientists are concerned that many measurements of children's physical and emotional health are inadequate, misleading, or outdated, leaving policymakers ill-informed. Indicators of Children's Well-Being is an ambitious inquiry into current efforts to monitor children from the prenatal period through adolescence. Working with the most up-to-date statistical s",Social Science,533,,0,en,1610442768,9781610442763,https://play.google.com/store/books/details?id=JeyFAwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=JeyFAwAAQBAJ&rdid=book-JeyFAwAAQBAJ&rdot=1&source=gbs_api,68,USD,,True,Children
9_IoDAAAQBAJ,Ethics And Children'S Literature,,Claudia Mills,Routledge,2016-05-13,"Exploring the ethical questions posed by, in, and about children’s literature, this collection examines the way texts intended for children raise questions of value, depict the moral development of their characters, and call into attention shared moral presuppositions. The essays in Part I look at various past attempts at conveying moral messages to children and interrogate their underlying assumptions. What visions of childhood were conveyed by explicit attempts to cultivate specific virtues in",Literary Criticism,279,,0,en,1317141407,9781317141402,https://play.google.com/store/books/details?id=9_IoDAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=9_IoDAAAQBAJ&rdid=book-9_IoDAAAQBAJ&rdot=1&source=gbs_api,42.36,USD,,True,Children
0sNdAgAAQBAJ,The Feminine Subject In Children'S Literature,,Christine Wilkie-Stibbs,Routledge,2013-12-16,"This book builds upon and contributes to the growing academic interest in feminism within the field of children's literature studies. Christie Wilkie-Stibbs draws upon the work of Luce Irigaray, Helene Cixous, Julia Kristeva, and Jacques Lacan in her analysis of particular children's literature texts to demonstrate how a feminist analysis opens up textual possibilities that may be applied to works of children's fiction in general, extending the range of textual engagements in children's literatu",Literary Criticism,232,,0,en,1136699929,9781136699924,http://books.google.com/books?id=0sNdAgAAQBAJ&dq=children&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Children
9Q-tAgAAQBAJ,Irish Children'S Literature And Culture,New Perspectives on Contemporary Writing,"Keith O'Sullivan, Valerie Coghlan",Routledge,2011-03-17,"What constitutes a ‘national literature’ is rarely straightforward, and it is especially complex when discussing writing for young people in an Irish context. Until recently, there was only a slight body of work that could be classified as ‘Irish children’s literature’ (whatever the parameters) in comparison with Ireland’s contribution to adult literature in the twentieth century. This volume looks critically at Irish writing for children from the 1980s to the present, examining the work of many",Literary Criticism,214,,0,en,113682510X,9781136825101,http://books.google.com/books?id=9Q-tAgAAQBAJ&dq=children&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Children
AiXeCwAAQBAJ,Children'S Literacy Practices And Preferences,Harry Potter and Beyond,"Jane Sunderland, Steven Dempster, Joanne Thistlethwaite",Routledge,2016-03-31,"Over the past few decades there have been intense debates in education surrounding children’s literacy achievement and ways to promote reading, particularly that of boys. The Harry Potter book series has been received enthusiastically by very many children, boys and girls alike, but has also been constructed in popular and media discourses as a children’s, particularly a boys’, literacy saviour. Children’s Literacy Practices and Preferences: Harry Potter and Beyond provides empirical evidence of",Education,199,,0,en,1317554728,9781317554721,https://play.google.com/store/books/details?id=AiXeCwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=AiXeCwAAQBAJ&rdid=book-AiXeCwAAQBAJ&rdot=1&source=gbs_api,43.11,USD,,True,Children
CRmRAgAAQBAJ,A Critical History Of French Children'S Literature,Volume Two: 1830-Present,Penny Brown,Routledge,2007,,,381,,0,en,1135871949,9781135871949,http://books.google.com/books?id=CRmRAgAAQBAJ&dq=children&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Children
C1AboPRXQLsC,Children'S Museum News,,Brooklyn Institute Of Arts And Sciences. Children'S Museum,,1924,,Natural history,92,,0,en,,,https://play.google.com/store/books/details?id=C1AboPRXQLsC&source=gbs_api,https://play.google.com/store/books/details?id=C1AboPRXQLsC&rdid=book-C1AboPRXQLsC&rdot=1&source=gbs_api,,,,True,Children
fCNAzgEACAAJ,Symbols Of Salvation,The Story of Jesus' Birth,Megan Gramzow,,2021-08-03,"Travel with Mary and Joseph as they make their way into Bethlehem, to the Inn, and as Jesus is born. Then walk with the Shepherds to see Jesus. Count the sheep as the story moves along and watch for the opportunities to join in. In this interactive and illustrated children's Christmas book, showcase the true story of Christmas in rhyme.",,16,,0,en,0758667655,9780758667656,http://books.google.com/books?id=fCNAzgEACAAJ&dq=children&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Children
